SalesOrderID,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,TaxAmt,Freight
43659,0,SO43659,PO522145787,221,278,5,985,1971.51,616.1
43660,0,SO43660,PO18850127500,124,278,5,921,124.25,38.83
43663,0,SO43663,PO18009186470,55,276,4,1073,40.27,12.58
43664,0,SO43664,PO16617121983,265,279,1,876,2344.99,732.81
43665,0,SO43665,PO16588191572,66,281,1,849,1375.94,429.98
43666,0,SO43666,PO16008173883,350,276,4,1074,486.37,151.99
43667,0,SO43667,PO15428132599,308,277,3,629,586.12,183.16
43669,0,SO43669,PO14123169936,173,281,1,895,70.52,22.04
43670,0,SO43670,PO14384116310,56,275,3,810,587.56,183.61
43671,0,SO43671,PO13978119376,260,281,1,855,780.81,244
43673,0,SO43673,PO13775141242,233,275,2,821,357.96,111.86
43675,0,SO43675,PO12412186464,223,277,3,631,546.88,170.9
43676,0,SO43676,PO11861165059,213,275,5,755,1363.27,426.02
43678,0,SO43678,PO10817150168,259,280,4,1021,942.07,294.4
43680,0,SO43680,PO10730130087,5,280,4,1069,1093.64,341.76
43681,0,SO43681,PO1189177803,117,278,5,955,1323.07,413.46
43682,0,SO43682,PO1566124200,181,275,2,808,371.8,116.19
43683,0,SO43683,PO2552113807,11,281,1,889,4107.15,1283.48
43684,0,SO43684,PO3393188842,271,278,5,971,537.26,167.89
43685,0,SO43685,PO4176124783,371,278,5,958,263.2,82.25
43686,0,SO43686,PO5075125561,84,281,1,871,332.48,103.9
43687,0,SO43687,PO4959110829,85,275,2,783,120.8,37.75
43688,0,SO43688,PO5365136389,154,275,2,771,1222.88,382.15
43689,0,SO43689,PO5626159507,107,277,4,578,3271.49,1022.34
43690,0,SO43690,PO6235146326,37,275,3,801,124.2,38.81
43691,0,SO43691,PO6409111675,59,277,4,592,83.98,26.24
43692,0,SO43692,PO7859187017,315,280,4,1024,3696.4,1155.12
43693,0,SO43693,PO8120182325,7,275,5,807,1969.56,615.49
43694,0,SO43694,PO9657130250,44,278,5,943,1978.33,618.23
43695,0,SO43695,PO10179176559,300,278,5,911,3787.46,1183.58
43696,0,SO43696,PO9947131800,237,278,5,977,40.27,12.58
43699,1,SO43699,NULL,7010,0,1,19613,272,85
43700,1,SO43700,NULL,2332,0,4,20278,55.93,17.48
43702,1,SO43702,NULL,7915,0,4,22584,286.26,89.46
43706,1,SO43706,NULL,7896,0,4,13264,286.26,89.46
43707,1,SO43707,NULL,7891,0,4,20923,286.26,89.46
43711,1,SO43711,NULL,7883,0,1,18404,286.26,89.46
43713,1,SO43713,NULL,7879,0,4,11855,286.26,89.46
43718,1,SO43718,NULL,7936,0,1,25346,286.26,89.46
43719,1,SO43719,NULL,7888,0,4,13854,286.26,89.46
43723,1,SO43723,NULL,2346,0,1,12708,55.93,17.48
43726,1,SO43726,NULL,2349,0,4,25989,55.93,17.48
43728,1,SO43728,NULL,7934,0,4,20616,286.26,89.46
43730,1,SO43730,NULL,7008,0,4,23733,272,85
43733,1,SO43733,NULL,7875,0,1,24572,286.26,89.46
43734,1,SO43734,NULL,7881,0,1,23224,286.26,89.46
43741,1,SO43741,NULL,7939,0,1,13036,286.26,89.46
43747,1,SO43747,NULL,7898,0,4,27241,286.26,89.46
43748,1,SO43748,NULL,7900,0,1,16663,286.26,89.46
43749,1,SO43749,NULL,7907,0,1,17878,286.26,89.46
43754,1,SO43754,NULL,7892,0,1,18700,286.26,89.46
43755,1,SO43755,NULL,7938,0,4,21785,286.26,89.46
43758,1,SO43758,NULL,7916,0,4,14400,286.26,89.46
43762,1,SO43762,NULL,7876,0,4,19011,286.26,89.46
43768,1,SO43768,NULL,7919,0,1,24209,286.26,89.46
43770,1,SO43770,NULL,7889,0,1,21039,286.26,89.46
43771,1,SO43771,NULL,2348,0,4,21657,55.93,17.48
43784,1,SO43784,NULL,7935,0,4,12491,286.26,89.46
43789,1,SO43789,NULL,7011,0,1,21950,270,84.37
43790,1,SO43790,NULL,7004,0,1,21871,272,85
43795,1,SO43795,NULL,7890,0,4,12290,286.26,89.46
43805,1,SO43805,NULL,2339,0,1,26084,55.93,17.48
43812,1,SO43812,NULL,7930,0,4,13852,286.26,89.46
43814,1,SO43814,NULL,7012,0,1,21939,270,84.37
43820,1,SO43820,NULL,7921,0,4,24200,286.26,89.46
43821,1,SO43821,NULL,7931,0,4,24836,286.26,89.46
43822,1,SO43822,NULL,7937,0,4,20019,286.26,89.46
43824,1,SO43824,NULL,2347,0,1,11804,55.93,17.48
43828,1,SO43828,NULL,7882,0,1,13129,286.26,89.46
43829,1,SO43829,NULL,7887,0,4,24776,286.26,89.46
43838,1,SO43838,NULL,7912,0,4,16330,286.26,89.46
43839,1,SO43839,NULL,7940,0,1,20037,286.26,89.46
43843,0,SO43843,PO19923118772,297,275,3,756,3174.2,991.94
43845,0,SO43845,PO19546184286,258,278,5,930,823.67,257.4
43848,0,SO43848,PO18908190536,153,281,1,851,1753.91,548.1
43849,0,SO43849,PO18676186169,218,274,1,1104,1969.98,615.62
43851,0,SO43851,PO18386167654,21,275,2,816,651.5,203.59
43858,0,SO43858,PO16791124272,301,275,2,758,1317.07,411.58
43859,0,SO43859,PO16762199940,245,276,4,1032,375.24,117.26
43860,0,SO43860,PO16646146654,191,279,1,832,1057.28,330.4
43861,0,SO43861,PO16327172067,175,278,5,974,2244.41,701.38
43862,0,SO43862,PO16211194171,291,278,5,919,2987.87,933.71
43863,0,SO43863,PO15747169584,184,277,4,611,164.97,51.55
43864,0,SO43864,PO16037151094,353,276,4,1052,3703.9,1157.47
43865,0,SO43865,PO15689147174,390,277,4,596,1268.26,396.33
43866,0,SO43866,PO14529112624,60,279,1,864,391.23,122.26
43867,0,SO43867,PO14471123403,68,279,1,848,3149.29,984.15
43869,0,SO43869,PO14500145975,384,276,1,1099,4734.61,1479.56
43870,0,SO43870,PO14326149236,127,275,2,765,413.62,129.26
43871,0,SO43871,PO13572145817,366,280,3,1076,899.95,281.23
43872,0,SO43872,PO12557127067,381,276,4,1028,1110.99,347.18
43873,0,SO43873,PO12499138177,145,276,4,1001,3973.73,1241.79
43874,0,SO43874,PO12122162917,58,277,3,562,40.27,12.58
43875,0,SO43875,PO12586178184,93,278,5,938,11871.5,3709.84
43876,0,SO43876,PO12006119347,376,275,2,784,686.95,214.67
43877,0,SO43877,PO11919119101,280,279,1,840,1977.12,617.85
43878,0,SO43878,PO11716136854,120,275,2,770,391.68,122.4
43881,0,SO43881,PO10759119626,387,277,3,598,3725.72,1164.29
43883,0,SO43883,PO10121175623,158,275,2,829,1763.02,550.94
43884,0,SO43884,PO10440182311,243,277,3,628,11215.35,3504.8
43885,0,SO43885,PO609186449,179,276,4,1070,5.93,1.85
43887,0,SO43887,PO1276169981,9,278,5,970,40.27,12.58
43892,0,SO43892,PO2523117473,152,280,4,1015,1587.17,495.99
43894,0,SO43894,PO2958194987,323,279,1,892,3118.7,974.6
43895,0,SO43895,PO2900121738,169,279,1,884,3121.49,975.47
43896,0,SO43896,PO3857154341,246,277,4,588,416.12,130.04
43897,0,SO43897,PO3799116239,30,276,4,1040,4912.93,1535.29
43899,0,SO43899,PO5191115657,269,277,3,600,1147.86,358.7
43900,0,SO43900,PO5568199700,252,278,5,954,3323.68,1038.65
43901,0,SO43901,PO5684189260,266,276,4,1053,2177.07,680.33
43902,0,SO43902,PO5858178400,19,278,5,972,5091.79,1591.18
43903,0,SO43903,PO5800178059,306,278,5,915,1.61,0.5
43904,0,SO43904,PO6351158788,378,277,4,587,1093.58,341.74
43905,0,SO43905,PO6293113391,234,278,5,979,950.94,297.17
43906,0,SO43906,PO6438197212,31,277,4,593,3162.14,988.17
43907,0,SO43907,PO6641115253,200,275,2,792,1407.78,439.93
43908,0,SO43908,PO6670111729,163,275,2,802,246.32,76.98
43909,0,SO43909,PO7221199520,198,281,1,869,2461.12,769.1
43910,0,SO43910,PO7598186753,303,278,5,913,1867.4,583.56
43911,0,SO43911,PO7627190040,88,279,1,880,1896.65,592.7
43912,0,SO43912,PO7656175368,239,276,4,1056,1258.95,393.42
43913,0,SO43913,PO7830112696,192,277,4,564,3522.3,1100.72
43914,0,SO43914,PO7917120732,29,280,1,1054,782.45,244.52
43915,0,SO43915,PO8932129717,135,275,3,785,388.8,121.5
43916,0,SO43916,PO8874186100,22,276,3,1046,3788.81,1184
43917,0,SO43917,PO8816199739,256,281,1,857,2050.82,640.88
43920,1,SO43920,NULL,8049,0,4,27151,286.26,89.46
43923,1,SO43923,NULL,8010,0,4,28877,286.26,89.46
43930,1,SO43930,NULL,8024,0,4,28267,286.26,89.46
43936,1,SO43936,NULL,8048,0,4,26957,286.26,89.46
43943,1,SO43943,NULL,2353,0,4,19488,55.93,17.48
43949,1,SO43949,NULL,7952,0,4,19937,286.26,89.46
43950,1,SO43950,NULL,8006,0,4,20434,286.26,89.46
43957,1,SO43957,NULL,8051,0,4,12047,286.26,89.46
43961,1,SO43961,NULL,8020,0,4,19605,286.26,89.46
43962,1,SO43962,NULL,8055,0,4,26676,286.26,89.46
43967,1,SO43967,NULL,8026,0,1,25586,286.26,89.46
43968,1,SO43968,NULL,8050,0,4,28431,286.26,89.46
43969,1,SO43969,NULL,8053,0,4,21890,286.26,89.46
43973,1,SO43973,NULL,8025,0,4,13444,286.26,89.46
43976,1,SO43976,NULL,8046,0,4,18656,286.26,89.46
43978,1,SO43978,NULL,8019,0,1,25351,286.26,89.46
43979,1,SO43979,NULL,2361,0,1,12682,55.93,17.48
43983,1,SO43983,NULL,8009,0,1,27287,286.26,89.46
43986,1,SO43986,NULL,8052,0,4,24410,286.26,89.46
43987,1,SO43987,NULL,8028,0,4,28003,286.26,89.46
43989,1,SO43989,NULL,8060,0,4,29742,286.26,89.46
43990,1,SO43990,NULL,7018,0,1,17167,272,85
43994,1,SO43994,NULL,7948,0,4,20835,286.26,89.46
43996,1,SO43996,NULL,7981,0,4,28195,286.26,89.46
43997,1,SO43997,NULL,8013,0,4,26341,286.26,89.46
43999,1,SO43999,NULL,8031,0,1,19357,286.26,89.46
44000,1,SO44000,NULL,7979,0,4,21592,286.26,89.46
44001,1,SO44001,NULL,8030,0,4,24719,286.26,89.46
44002,1,SO44002,NULL,2358,0,4,16629,55.93,17.48
44004,1,SO44004,NULL,8044,0,4,26326,286.26,89.46
44008,1,SO44008,NULL,7945,0,1,25531,286.26,89.46
44009,1,SO44009,NULL,7971,0,1,16988,286.26,89.46
44014,1,SO44014,NULL,7978,0,4,17086,286.26,89.46
44017,1,SO44017,NULL,8057,0,1,26037,286.26,89.46
44018,1,SO44018,NULL,7020,0,1,26090,270,84.37
44038,1,SO44038,NULL,7014,0,4,21186,272,85
44046,1,SO44046,NULL,8047,0,1,20990,286.26,89.46
44047,1,SO44047,NULL,7022,0,4,28360,272,85
44057,1,SO44057,NULL,2362,0,1,11705,55.93,17.48
44061,1,SO44061,NULL,7980,0,1,15624,286.26,89.46
44062,1,SO44062,NULL,8027,0,1,19623,286.26,89.46
44065,1,SO44065,NULL,8045,0,4,13473,286.26,89.46
44066,1,SO44066,NULL,7013,0,4,25529,272,85
44074,0,SO44074,PO20213115982,75,275,2,778,80.99,25.31
44075,0,SO44075,PO20155139653,96,281,1,843,2538.75,793.36
44076,0,SO44076,PO19720140502,322,277,3,620,391.68,122.4
44078,0,SO44078,PO19169159771,91,281,1,863,2702.18,844.43
44079,0,SO44079,PO19488118734,305,277,3,565,2467.59,771.12
44080,0,SO44080,PO18937118744,165,276,4,1062,0.99,0.31
44087,0,SO44087,PO16095130285,290,276,4,1004,482.64,150.83
44088,0,SO44088,PO16269137565,231,280,4,1094,40.27,12.58
44089,0,SO44089,PO15950135717,125,276,4,1007,201.34,62.92
44090,0,SO44090,PO15834170093,115,277,4,605,634.79,198.37
44091,0,SO44091,PO15863179138,273,280,4,1079,429.11,134.1
44092,0,SO44092,PO15167143312,375,277,4,589,393.9,123.09
44093,0,SO44093,PO15138128112,148,277,4,569,1021.89,319.34
44095,0,SO44095,PO14964184959,174,280,4,1085,4074.61,1273.32
44096,0,SO44096,PO13920114195,113,275,3,774,780.48,243.9
44097,0,SO44097,PO14268131774,110,277,3,606,579.21,181
44098,0,SO44098,PO13746121367,16,278,5,973,1571.28,491.02
44099,0,SO44099,PO13717176693,264,280,4,1066,1199.68,374.9
44100,0,SO44100,PO13543119495,137,280,1,1036,7884.66,2463.96
44101,0,SO44101,PO11977181307,157,278,5,984,941.27,294.15
44102,0,SO44102,PO11426145969,129,278,5,950,336.53,105.17
44105,0,SO44105,PO10382117173,188,277,3,609,585.63,183.01
44106,0,SO44106,PO319178820,361,278,5,920,40.27,12.58
44107,0,SO44107,PO261177749,383,277,4,630,1555.41,486.07
44108,0,SO44108,PO667110590,134,280,4,1048,208.23,65.07
44109,0,SO44109,PO783112882,278,279,1,842,1329.53,415.48
44110,0,SO44110,PO1624152036,3,277,3,621,1600.69,500.21
44113,0,SO44113,PO2697181021,287,276,4,1020,3894.05,1216.89
44114,0,SO44114,PO3190199320,172,275,2,817,3221.11,1006.6
44115,0,SO44115,PO3248122509,33,276,4,1049,6434.54,2010.79
44116,0,SO44116,PO4089171650,133,278,5,948,1953.62,610.51
